               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13318,             0.12659,            0.034576,              0.7137,                0.25,             0.21034,            0.073505,             0.12565,            0.019287,            0.012155,               8e-05,               8e-05,             0.09928
                   1,             0.11135,            0.024179,           0.0055038,             0.56223,             0.33333,            0.064103,            0.011609,             0.12195,            0.021107,           0.0058425,          0.00016985,          0.00016985,             0.09847
                   2,            0.091212,            0.025667,           0.0046959,              0.8333,             0.49988,             0.40225,             0.11345,             0.10995,            0.020827,            0.002567,          0.00025908,          0.00025908,            0.097659
                   3,            0.081762,            0.024935,           0.0044889,             0.99999,                 0.5,             0.56725,             0.31241,              0.0727,            0.021449,           0.0027702,          0.00034721,          0.00034721,            0.096847
                   4,            0.070537,            0.023926,           0.0042722,             0.42802,             0.83333,             0.75803,             0.40515,            0.063264,            0.020218,           0.0033983,          0.00043378,          0.00043378,            0.096034
                   5,            0.066364,            0.022885,           0.0039234,             0.67203,                0.75,             0.72652,             0.36783,            0.071237,            0.018481,           0.0036591,          0.00051833,          0.00051833,            0.095218
                   6,            0.064333,            0.022105,           0.0037849,             0.42727,                   1,             0.63461,             0.23738,            0.063475,            0.015589,           0.0033459,          0.00060041,          0.00060041,              0.0944
                   7,            0.060971,            0.020134,           0.0030427,             0.64704,             0.83333,             0.85074,             0.39463,            0.052175,            0.014448,           0.0026375,          0.00067959,          0.00067959,             0.09358
                   8,            0.056142,            0.018202,           0.0031171,             0.85915,             0.83333,             0.87716,             0.45524,             0.04293,            0.017446,           0.0030105,          0.00075547,          0.00075547,            0.092755
                   9,            0.052355,            0.018638,           0.0028674,             0.99996,             0.83606,             0.98357,             0.58611,            0.044037,            0.015477,            0.002644,          0.00082765,          0.00082765,            0.091928
                  10,            0.050366,            0.017465,           0.0028178,             0.97455,             0.82977,                0.94,             0.60645,            0.045285,            0.014504,           0.0024636,          0.00089578,          0.00089578,            0.091096
                  11,             0.04825,            0.017382,             0.00266,              0.9029,             0.99764,             0.97143,             0.50766,             0.04042,            0.013954,           0.0024704,           0.0009595,           0.0009595,             0.09026
                  12,            0.046312,            0.016447,           0.0025132,             0.98526,                   1,               0.995,             0.62318,               0.038,            0.012426,           0.0021308,           0.0010185,           0.0010185,            0.089419
                  13,            0.044717,            0.016197,           0.0024251,             0.73668,             0.99995,               0.995,             0.64969,            0.035408,            0.014303,           0.0025001,           0.0010726,           0.0010726,            0.088573
                  14,             0.04378,            0.016097,           0.0023965,             0.97982,                   1,               0.995,             0.71908,            0.031368,            0.012685,           0.0020488,           0.0011214,           0.0011214,            0.087721
                  15,             0.04302,             0.01621,           0.0024091,             0.99044,             0.99968,               0.995,             0.62905,            0.040139,             0.01402,           0.0019273,           0.0011647,           0.0011647,            0.086865
                  16,            0.040521,            0.015144,           0.0022442,             0.98032,                   1,               0.995,             0.70588,            0.029296,            0.012006,           0.0016995,           0.0012025,           0.0012025,            0.086003
                  17,            0.037928,             0.01583,           0.0021243,             0.98296,             0.99997,               0.995,             0.73158,            0.034193,            0.012948,           0.0018139,           0.0012345,           0.0012345,            0.085135
                  18,            0.037467,            0.015295,            0.001974,             0.92884,             0.87123,               0.995,             0.68407,            0.033464,            0.011195,            0.001648,           0.0012607,           0.0012607,            0.084261
                  19,            0.035955,            0.014757,           0.0019221,             0.99253,                   1,               0.995,             0.64992,            0.032962,            0.012054,           0.0015273,            0.001281,            0.001281,            0.083381
                  20,             0.03722,            0.014957,           0.0019484,              0.9753,                   1,               0.995,             0.65451,            0.032888,            0.012212,           0.0018447,           0.0012954,           0.0012954,            0.082495
                  21,             0.03502,            0.014776,           0.0020853,             0.99692,                   1,               0.995,             0.72248,            0.027134,            0.012543,           0.0014242,            0.001304,            0.001304,            0.081604
                  22,             0.03472,            0.014767,           0.0018899,             0.98394,                   1,               0.995,             0.72106,            0.030294,            0.014796,           0.0018964,           0.0013067,           0.0013067,            0.080707
                  23,            0.033712,            0.014276,           0.0017763,             0.99175,                   1,               0.995,             0.63834,            0.029169,            0.012505,            0.001355,           0.0013038,           0.0013038,            0.079804
                  24,            0.033057,             0.01416,           0.0016674,             0.98422,             0.99968,               0.995,             0.67029,            0.034803,            0.013306,           0.0015702,           0.0012953,           0.0012953,            0.078895
                  25,            0.032225,            0.014114,           0.0018079,              0.9885,                   1,               0.995,             0.68648,            0.031479,             0.01312,           0.0013669,           0.0012815,           0.0012815,            0.077982
                  26,            0.029996,            0.013469,            0.001666,             0.99218,                   1,               0.995,             0.69761,            0.029846,            0.013344,           0.0012573,           0.0012626,           0.0012626,            0.077063
                  27,            0.029214,            0.013013,            0.001603,             0.99378,             0.99981,               0.995,             0.72681,            0.028814,             0.01195,           0.0011749,           0.0012389,           0.0012389,            0.076139
                  28,            0.030159,            0.013506,           0.0015671,             0.99706,                   1,               0.995,             0.70626,            0.029805,            0.011536,           0.0010948,           0.0012108,           0.0012108,            0.075211
                  29,            0.027399,            0.013326,             0.00146,             0.99579,                   1,               0.995,             0.78506,            0.026087,            0.010806,           0.0010611,           0.0011785,           0.0011785,            0.074278
                  30,            0.027849,            0.013506,           0.0014238,             0.99281,                   1,               0.995,             0.77377,            0.026894,            0.013616,           0.0011564,           0.0011424,           0.0011424,            0.073342
                  31,            0.026579,            0.013147,           0.0014963,             0.99728,                   1,               0.995,             0.75806,            0.026191,            0.012481,           0.0010452,           0.0011031,           0.0011031,            0.072403
                  32,            0.026657,            0.012897,           0.0014275,             0.99514,                   1,               0.995,             0.75039,            0.024614,            0.012705,           0.0010244,           0.0010609,           0.0010609,            0.071461
                  33,            0.024883,             0.01239,           0.0012859,             0.99413,                   1,               0.995,             0.75227,            0.024691,            0.012484,          0.00095105,           0.0010163,           0.0010163,            0.070516
                  34,            0.024184,            0.012444,           0.0013291,             0.99341,                   1,               0.995,             0.77724,            0.023438,            0.010369,          0.00082384,          0.00096988,          0.00096988,             0.06957
                  35,            0.024819,            0.012409,           0.0012754,             0.99194,                   1,               0.995,             0.78453,            0.023339,            0.012318,          0.00098933,          0.00092215,          0.00092215,            0.068622
                  36,            0.023427,            0.012462,           0.0012944,             0.99329,                   1,               0.995,              0.8132,            0.021603,             0.01104,          0.00079943,          0.00087369,          0.00087369,            0.067674
                  37,            0.023259,            0.012615,           0.0011627,             0.99413,                   1,               0.995,             0.80976,             0.02222,            0.010208,          0.00080246,          0.00082506,          0.00082506,            0.066725
                  38,            0.023202,            0.012067,           0.0011793,             0.99512,                   1,               0.995,             0.79873,            0.021478,            0.010076,           0.0007211,          0.00077687,          0.00077687,            0.065777
                  39,            0.021912,            0.012054,           0.0010879,             0.99442,                   1,               0.995,             0.80369,            0.021106,            0.010659,          0.00067721,          0.00072974,          0.00072974,             0.06483
                  40,            0.021444,            0.011895,           0.0010934,               0.992,                   1,               0.995,             0.79943,            0.020731,            0.010452,          0.00064489,          0.00068427,          0.00068427,            0.063884
                  41,            0.021521,            0.012209,           0.0011187,             0.99464,                   1,               0.995,             0.76692,            0.022443,            0.011273,          0.00066263,           0.0006411,           0.0006411,            0.062941
                  42,            0.021289,            0.011514,          0.00096754,             0.99212,                   1,               0.995,             0.78811,             0.02214,            0.010887,          0.00070357,          0.00060086,          0.00060086,            0.062001
                  43,            0.021176,             0.01216,           0.0010242,             0.99328,                   1,               0.995,             0.77346,            0.022424,            0.011217,          0.00068793,          0.00056417,          0.00056417,            0.061064
                  44,            0.021154,            0.011313,           0.0011804,             0.98993,                   1,               0.995,             0.79962,            0.021898,            0.011996,          0.00072733,          0.00053167,          0.00053167,            0.060132
                  45,            0.020982,            0.011713,          0.00098905,               0.992,                   1,               0.995,             0.82429,            0.019941,            0.010111,          0.00057487,          0.00050396,          0.00050396,            0.059204
                  46,            0.020564,            0.011195,           0.0010362,             0.99507,             0.99978,               0.995,             0.80129,            0.020802,            0.010683,          0.00060132,          0.00048166,          0.00048166,            0.058282
                  47,            0.020645,            0.012176,          0.00098449,             0.99239,                   1,               0.995,             0.77782,            0.021209,             0.01083,          0.00058496,          0.00046535,          0.00046535,            0.057365
                  48,            0.020307,            0.011697,           0.0010616,              0.9911,                   1,               0.995,             0.81393,            0.021502,            0.011653,          0.00066279,          0.00045561,          0.00045561,            0.056456
                  49,            0.020644,            0.011713,           0.0010971,             0.99377,                   1,               0.995,             0.81413,            0.021728,            0.010843,          0.00053176,          0.00045299,          0.00045299,            0.055553
